X1,id,available_Cycle,available_Walk,available_HSR,available_Car,time_Cycle,time_Walk,time_HSR,time_Car,access_Cycle,access_Walk,access_HSR,access_Car,wait_Cycle,wait_Walk,wait_HSR,wait_Car,transfer_Cycle,transfer_Walk,transfer_HSR,transfer_Car,parking,vehind,gender,age,shared,family,child,street_density,sidewalk_density,LAT,LONG,PersonalVehComf_SD,PersonalVehComf_D,PersonalVehComf_A,PersonalVehComf_SA,Fun_SD,Fun_D,Fun_A,Fun_SA,ActiveNeigh_SD,ActiveNeigh_D,ActiveNeigh_A,ActiveNeigh_SA,UsefulTrans_SD,UsefulTrans_D,UsefulTrans_A,UsefulTrans_SA,BusComf_SD,BusComf_D,BusComf_A,BusComf_SA,TravelAlone_SD,TravelAlone_D,TravelAlone_A,TravelAlone_SA,Shelters_SD,Shelters_D,Shelters_A,Shelters_SA,Community_SD,Community_D,Community_A,Community_SA,personal_veh_comfortable,getting_there_fun,like_active_neighborhood,commute_useful_transition,buses_comfortable,prefer_travel_alone,shelter_good_quality,sense_community,numna
11,566921396,No,Yes,Yes,No,NA,12,5,.,0,0,31.06,0,0,0,10.23,0,0,0,0,0,No,No,Woman,25,Living in Shared Accommodations,No,No,16.50261063,31.43903392,43.252363,-79.922035,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,A,D,D,A,A,N,A,SA,2
12,566923414,No,No,Yes,Yes,NA,.,25,20,0,0,27.33,0,0,0,10.23,0,0,0,1,0,Yes,Yes,Woman,38,No,Living with Family,Yes,7.456544596,11.32704127,43.21334,-79.954584,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,A,A,SA,N,A,N,D,N,2
13,566925472,No,Yes,Yes,No,NA,12,2,.,0,0,1.49,0,0,0,10.23,0,0,0,0,0,No,No,Woman,20,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,A,A,A,N,N,N,SD,2
14,566926418,No,Yes,Yes,No,NA,10,3,.,0,0,2.48,0,0,0,10.23,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,A,N,D,A,A,D,A,D,2
15,566926630,No,No,Yes,Yes,NA,.,25,10,0,0,10,0,0,0,10,0,0,0,1,0,No,No,Man,18,No,Living with Family,Yes,3.965774597,1.697114084,43.251301,-79.903758,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,SA,A,SA,N,SA,D,A,SA,2
16,566934082,No,Yes,Yes,No,NA,15,5,.,0,0,12.42,0,0,0,10.23,0,0,0,0,0,No,No,Woman,20,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.257822,-79.919413,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,SA,N,A,N,N,D,N,D,2
17,566934436,No,No,Yes,Yes,NA,.,40,20,0,0,1.37,0,0,0,10.23,0,0,0,0,0,Yes,No,Woman,21,No,Living with Family,Yes,16.89354053,28.48017412,43.242574,-79.819705,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,A,N,A,N,N,D,N,A,2
18,566934743,No,Yes,Yes,No,NA,47.20496894,17,.,0,0,10,0,0,0,15,0,0,0,0,0,No,No,Woman,19,No,Living with Family,Yes,17.81761199,18.80207266,43.265544,-79.944617,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,N,A,N,D,D,N,D,A,2
19,566935423,Yes,Yes,Yes,No,4.371118065,15,1,.,0,0,0,0,0,0,10.23,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,17.71570322,30.38207455,43.257576,-79.918433,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,N,D,D,N,A,A,A,D,3
20,566936288,No,Yes,Yes,No,NA,15,4,.,0,0,5.33,0,0,0,10.23,0,0,0,0,0,No,No,Man,19,Living in Shared Accommodations,No,No,4.643304097,6.352265804,43.257315,-79.935414,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,A,A,A,D,N,D,A,N,2
21,566936854,No,Yes,No,Yes,NA,15,.,5,0,0,0,0,0,0,10.23,0,0,0,100000,0,No,No,Woman,19,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257905,-79.914817,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,A,N,D,N,N,A,N,D,2
22,566938024,No,No,Yes,Yes,NA,.,65,30,0,0,5,0,0,0,10,0,0,0,2,0,No,No,Man,19,No,Living with Family,Yes,5.426128632,9.586897009,43.208578,-79.879401,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,SA,A,SA,N,N,N,SD,SA,2
23,566939887,No,Yes,Yes,No,NA,12.42236025,5,.,0,0,6,0,0,0,15,0,0,0,0,0,No,No,Woman,21,Living in Shared Accommodations,No,No,16.18344475,35.43306805,43.262216,-79.90513,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SA,N,A,A,D,N,D,N,2
24,566941574,No,No,Yes,Yes,NA,.,15,25,0,0,21.31,0,0,0,10.23,0,0,0,0,0,No,Yes,Man,32,No,No,No,15.63125489,26.912703,43.259394,-79.878728,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,SD,D,A,N,A,N,A,SD,2
25,566942436,Yes,Yes,Yes,No,4.371118065,15,3,.,0,0,31.97,0,0,0,10.23,0,0,0,0,0,No,No,Man,28,No,No,No,19.4975356,39.64003191,43.261881,-79.905924,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,A,A,A,A,A,A,D,A,3
26,566948283,No,No,Yes,Yes,NA,.,10,15,0,0,5,0,0,0,5,0,0,0,0,0,No,Yes,Man,21,No,No,No,10.18232626,19.88144051,43.257449,-79.930483,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A,D,D,N,N,N,N,D,2
27,566948713,No,No,Yes,Yes,NA,.,15,6,0,0,2,0,0,0,7,0,0,0,0,0,No,Yes,Woman,19,No,No,No,13.55660792,8.22849688,43.25222,-79.93953,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,A,D,N,D,N,A,A,N,2
28,566949396,Yes,Yes,Yes,No,2.91407871,10,13,.,0,0,29.81,0,0,0,10.23,0,0,0,0,0,No,No,Woman,21,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257934,-79.914077,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,A,D,A,N,N,D,D,N,3
29,566949890,No,Yes,Yes,No,NA,10,20,.,0,0,6.21,0,0,0,10.23,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,D,D,N,A,A,A,A,N,2
30,566954431,No,No,Yes,Yes,NA,.,45,25,0,0,5,0,0,0,15,0,0,0,1,0,No,Yes,Man,35,No,No,No,14.91238084,23.02237068,43.239051,-79.844184,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,A,D,A,N,N,A,A,D,2
31,566955248,Yes,Yes,No,Yes,2.91407871,10,.,1,0,0,0,0,0,0,10.23,0,0,0,100000,0,No,Yes,Woman,21,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,A,N,A,N,A,N,A,A,3
32,566959464,No,Yes,Yes,No,NA,17,10,.,0,0,24.84,0,0,0,10.23,0,0,0,0,0,No,No,Woman,20,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,D,A,A,D,D,D,A,D,2
33,566959744,No,Yes,Yes,No,NA,12.78863233,10,.,0,0,2,0,0,0,15,0,0,0,0,0,No,No,Man,28,No,No,No,4.643304097,6.352265804,43.257315,-79.935414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,N,N,N,N,D,D,D,N,2
34,566960891,Yes,No,Yes,Yes,20,.,20,10,0,0,62.11,0,0,0,10.23,0,0,0,0,0,No,No,Woman,45,No,Living with Family,Yes,6.513789412,4.543402359,43.263228,-79.901711,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,D,D,SD,D,N,A,N,3
35,566962937,No,Yes,Yes,No,NA,24.8447205,15,.,0,0,7,0,0,0,5,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,12.87040646,6.605343875,43.25845,-79.907797,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,A,N,A,A,D,A,SD,N,2
36,566962977,No,No,Yes,Yes,NA,.,69,60,0,0,3.73,0,0,0,10.23,0,0,0,2,0,Yes,Yes,Woman,28,No,Living with Family,Yes,3.967330702,2.444961259,43.196222,-79.79586,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,A,D,D,D,N,D,SD,N,2
37,566964478,No,Yes,Yes,Yes,NA,15,5,3,0,0,0.12,0,0,0,10.23,0,0,0,0,0,No,Yes,Woman,20,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.2577,-79.9222,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,A,A,A,A,D,D,D,N,3
38,566964997,No,No,Yes,Yes,NA,.,35,12,0,0,20,0,0,0,10,0,0,0,0,0,No,No,Man,32,Living in Shared Accommodations,No,No,15.85926415,33.6389458,43.258371,-79.85726,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,A,D,N,D,A,N,A,A,2
39,566965817,No,Yes,Yes,No,NA,20,10,.,0,0,10.66,0,0,0,10.23,0,0,0,2,0,No,No,Man,19,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,N,A,A,D,N,A,N,A,2
40,566965845,No,No,Yes,Yes,NA,.,33,20,0,0,2.11,0,0,0,10.23,0,0,0,1,0,No,No,Woman,60,No,Living with Family,Yes,6.822078576,12.96710663,43.221214,-79.89024,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,SA,N,D,A,N,N,A,D,2
41,566967664,Yes,Yes,Yes,Yes,1.748447226,6,2,5,0,0,5.22,0,0,0,10.23,0,0,0,0,0,No,Yes,Man,20,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.257648,-79.923876,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,SA,N,N,N,N,N,4
42,566969545,No,Yes,Yes,Yes,NA,15,5,4,0,0,12.42,0,0,0,10.23,0,0,0,0,0,No,Yes,Woman,24,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.257822,-79.919413,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,A,N,A,N,A,A,N,A,3
43,566970291,No,Yes,Yes,Yes,NA,10,1,1,0,0,12.42,0,0,0,10.23,0,0,0,0,0,No,Yes,Woman,19,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257879,-79.916185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,A,N,N,A,N,A,N,D,3
44,566973504,No,No,Yes,Yes,NA,.,35,20,0,0,12.42,0,0,0,10.23,0,0,0,1,0,Yes,Yes,Woman,23,No,Living with Family,Yes,18.7734309,21.74058123,43.212541,-79.855839,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,A,N,N,D,A,A,A,A,2
45,566974650,No,No,Yes,Yes,NA,.,80,25,0,0,4.97,0,0,0,10.23,0,0,0,1,0,Yes,No,Woman,22,Living in Shared Accommodations,No,No,3.967330702,2.444961259,43.194542,-79.788583,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,A,N,D,N,D,D,N,D,2
46,566981990,No,Yes,Yes,No,NA,10.65719361,22,.,0,0,30,0,0,0,20,0,0,0,0,0,No,No,Man,31,No,No,No,19.4975356,39.64003191,43.259156,-79.902437,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,D,N,A,N,A,N,D,N,2
47,566986817,No,No,Yes,Yes,NA,.,8,5,0,0,4,0,0,0,4,0,0,0,0,0,No,Yes,Woman,22,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.257822,-79.919413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,A,N,N,A,A,N,N,A,2
48,566989682,No,No,Yes,Yes,NA,.,25,15,0,0,21.31,0,0,0,10.23,0,0,0,0,0,No,Yes,Man,25,No,No,No,17.05446118,29.95914548,43.250457,-79.879188,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,A,A,SA,D,D,A,D,N,2
49,566991188,No,Yes,Yes,No,NA,10,8,.,0,0,2.48,0,0,0,10.23,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257934,-79.914077,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,A,A,A,N,A,D,N,A,2
50,566992428,No,Yes,Yes,No,NA,20,30,.,0,0,12.42,0,0,0,10.23,0,0,0,0,0,No,No,Woman,27,No,No,No,10.18232626,19.88144051,43.257415,-79.931691,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,N,D,SA,A,N,N,SD,SD,2
51,566992458,No,No,Yes,Yes,NA,.,80,30,0,0,8,0,0,0,35,0,0,0,1,0,No,No,Woman,20,No,Living with Family,Yes,5.354030747,6.569837609,43.215416,-79.795569,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,A,A,A,SA,N,SD,A,A,2
52,566993038,Yes,No,Yes,Yes,10,.,5,2,0,0,62.11,0,0,0,10.23,0,0,0,0,0,No,Yes,Woman,27,No,No,No,10.18232626,19.88144051,43.257401,-79.932111,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,A,D,A,N,SD,A,N,D,3
53,566993539,No,No,Yes,Yes,NA,.,20,20,0,0,10.66,0,0,0,10.23,0,0,0,1,0,Yes,No,Man,20,No,Living with Family,No,9.035854117,7.097878361,43.2286,-79.93699,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,A,A,D,A,N,D,A,A,2
54,566994221,No,No,Yes,Yes,NA,.,60,25,0,0,12.42,0,0,0,10.23,0,0,0,2,0,Yes,Yes,Woman,18,No,Living with Family,Yes,9.683252049,36.293992,43.200053,-79.868657,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,N,N,N,D,N,N,N,2
55,566997008,No,Yes,Yes,No,NA,15,2,.,0,0,12.42,0,0,0,10.23,0,0,0,0,0,No,No,Woman,21,Living in Shared Accommodations,No,No,15.73366442,35.69782751,43.258076,-79.911943,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,N,D,SD,SA,D,A,N,D,2
56,567000227,No,Yes,Yes,No,NA,10,10,.,0,0,3.11,0,0,0,10.23,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,19.4975356,39.64003191,43.261318,-79.907289,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,A,SD,N,N,A,D,N,N,2
57,567002208,Yes,Yes,Yes,No,4.371118065,15,5,.,0,0,0,0,0,0,10.23,0,0,0,0,0,No,No,Man,20,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.257822,-79.919413,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,SA,D,A,N,D,SD,D,D,3
58,567010428,Yes,Yes,Yes,Yes,3.496894452,12,5,2,0,0,6.21,0,0,0,10.23,0,0,0,0,0,No,No,Woman,21,Living in Shared Accommodations,No,No,9.653162301,16.46633437,43.25756,-79.926933,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,A,A,SA,A,A,A,N,N,4
59,567011167,No,No,Yes,Yes,NA,.,10,10,0,0,15,0,0,0,5,0,0,0,0,0,No,Yes,Woman,23,No,No,No,19.4975356,39.64003191,43.261318,-79.907289,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,A,A,D,A,A,SA,N,N,2
60,567012140,No,No,Yes,Yes,NA,.,40,25,0,0,5,0,0,0,2,0,0,0,0,0,No,No,Woman,19,No,Living with Family,Yes,11.76164003,18.19162638,43.224002,-79.738536,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,A,D,D,A,A,A,A,A,2
61,567012164,No,No,Yes,Yes,NA,.,42,30,0,0,3.98,0,0,0,10.23,0,0,0,1,0,No,No,Woman,19,No,Living with Family,Yes,12.5475181,20.7698267,43.201474,-79.850384,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,A,D,A,D,N,D,A,A,2
62,567016985,Yes,No,Yes,No,7,.,5,.,0,0,24.84,0,0,0,10.23,0,0,0,0,0,No,No,Woman,21,Living in Shared Accommodations,No,No,15.73366442,35.69782751,43.260387,-79.90977,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,A,D,D,D,D,N,D,SD,2
63,567020780,No,Yes,Yes,No,NA,15,10,.,0,0,24.84,0,0,0,10.23,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,10.35515054,12.82083337,43.252307,-79.925116,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,SA,A,A,D,D,A,A,A,2
64,567021942,Yes,Yes,Yes,Yes,4.371118065,15,5,2,0,0,21.31,0,0,0,10.23,0,0,0,0,0,No,Yes,Man,24,Living in Shared Accommodations,No,No,16.50261063,31.43903392,43.252363,-79.922035,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,N,D,A,A,SA,A,A,N,4
65,567021970,No,No,Yes,Yes,NA,.,10,10,0,0,3.73,0,0,0,10.23,0,0,0,2,0,No,No,Man,19,No,Living with Family,Yes,13.77504238,23.62142566,43.251057,-79.892789,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,SA,SA,SA,N,SD,SD,D,SA,2
66,567023968,No,No,Yes,Yes,NA,.,20,15,0,0,21.31,0,0,0,10.23,0,0,0,0,0,Yes,Yes,Man,22,No,No,No,16.52739308,24.01135091,43.256617,-79.874346,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,A,N,D,N,D,N,A,D,2
67,567025915,Yes,Yes,No,Yes,2.91407871,10,.,2,0,0,0,0,0,0,10.23,0,0,0,100000,0,No,No,Man,21,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257934,-79.914077,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,A,N,A,D,D,D,A,A,3
68,567026366,No,No,Yes,Yes,NA,.,15,6,0,0,5,0,0,0,20,0,0,0,0,0,No,Yes,Woman,20,Living in Shared Accommodations,No,No,13.55660792,8.22849688,43.25222,-79.93953,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,A,A,N,SA,N,N,A,A,2
69,567031746,No,No,Yes,Yes,NA,.,35,30,0,0,1,0,0,0,2,0,0,0,0,0,No,No,Woman,19,No,Living with Family,Yes,10.10814511,20.28181241,43.218472,-79.918446,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,SA,N,N,SA,A,A,D,A,2
70,567031802,Yes,No,Yes,No,6,.,10,.,0,0,21.31,0,0,0,10.23,0,0,0,0,0,No,No,Man,23,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,A,SA,N,N,A,SA,A,A,2
