Country,Date,Yield
NLD,2021-07,-0.381
NLD,2021-08,-0.48
NLD,2021-09,-0.339
NLD,2021-10,-0.178
NLD,2021-11,-0.268
NLD,2021-12,-0.318
DEU,2007-01,4.016818
DEU,2007-02,4.049
DEU,2007-03,3.940909
DEU,2007-04,4.152105
DEU,2007-05,4.279047
DEU,2007-06,4.560476
DEU,2007-07,4.505
DEU,2007-08,4.296522
DEU,2007-09,4.226
DEU,2007-10,4.282609
DEU,2007-11,4.089091
DEU,2007-12,4.205883
DEU,2008-01,4.027727
DEU,2008-02,3.952857
DEU,2008-03,3.799474
DEU,2008-04,4.04
DEU,2008-05,4.201905
DEU,2008-06,4.520476
DEU,2008-07,4.490435
DEU,2008-08,4.202381
DEU,2008-09,4.094091
DEU,2008-10,3.883478
DEU,2008-11,3.5565
DEU,2008-12,3.047895
DEU,2009-01,3.070952
DEU,2009-02,3.1275
DEU,2009-03,3.019546
DEU,2009-04,3.133
DEU,2009-05,3.371
DEU,2009-06,3.473636
DEU,2009-07,3.337826
DEU,2009-08,3.305238
DEU,2009-09,3.263182
DEU,2009-10,3.209091
DEU,2009-11,3.217143
DEU,2009-12,3.1385
DEU,2010-01,3.2575
DEU,2010-02,3.17
DEU,2010-03,3.102174
DEU,2010-04,3.0645
DEU,2010-05,2.734286
DEU,2010-06,2.543182
DEU,2010-07,2.615909
DEU,2010-08,2.35
DEU,2010-09,2.300455
DEU,2010-10,2.345714
DEU,2010-11,2.532727
DEU,2010-12,2.914762
DEU,2011-01,3.016667
DEU,2011-02,3.199
DEU,2011-03,3.211739
DEU,2011-04,3.340526
DEU,2011-05,3.060909
DEU,2011-06,2.890909
DEU,2011-07,2.743809
DEU,2011-08,2.213478
DEU,2011-09,1.829091
DEU,2011-10,2.002381
DEU,2011-11,1.874091
DEU,2011-12,1.927619
DEU,2012-01,1.820909
DEU,2012-02,1.851905
DEU,2012-03,1.830455
DEU,2012-04,1.62421
DEU,2012-05,1.336818
DEU,2012-06,1.300476
DEU,2012-07,1.242273
DEU,2012-08,1.341739
DEU,2012-09,1.4905
DEU,2012-10,1.466956
DEU,2012-11,1.335909
DEU,2012-12,1.299412
DEU,2013-01,1.512273
DEU,2013-02,1.5435
DEU,2013-03,1.3545
DEU,2013-04,1.19619
DEU,2013-05,1.294091
DEU,2013-06,1.5305
DEU,2013-07,1.565652
DEU,2013-08,1.735
DEU,2013-09,1.888095
DEU,2013-10,1.762174
DEU,2013-11,1.677143
DEU,2013-12,1.797778
DEU,2014-01,1.755909
DEU,2014-02,1.5585
DEU,2014-03,1.508571
DEU,2014-04,1.4565
DEU,2014-05,1.327143
DEU,2014-06,1.264286
DEU,2014-07,1.114348
DEU,2014-08,0.9561905
DEU,2014-09,0.9213637
DEU,2014-10,0.7909091
DEU,2014-11,0.719
DEU,2014-12,0.5889474
DEU,2015-01,0.39
DEU,2015-02,0.302
DEU,2015-03,0.2272727
DEU,2015-04,0.122
DEU,2015-05,0.5557895
DEU,2015-06,0.7927273
DEU,2015-07,0.71
DEU,2015-08,0.6085714
DEU,2015-09,0.6540909
DEU,2015-10,0.5181818
DEU,2015-11,0.5161905
DEU,2015-12,0.5455
DEU,2016-01,0.4305
DEU,2016-02,0.1728572
DEU,2016-03,0.1714286
DEU,2016-04,0.1342857
DEU,2016-05,0.1328571
DEU,2016-06,-0.01681818
DEU,2016-07,-0.1542857
DEU,2016-08,-0.1317391
DEU,2016-09,-0.08409091
DEU,2016-10,0.002
DEU,2016-11,0.1890909
DEU,2016-12,0.2519048
DEU,2017-01,0.2509091
DEU,2017-02,0.258
DEU,2017-03,0.3482609
DEU,2017-04,0.2255556
DEU,2017-05,0.3363636
DEU,2017-06,0.2504762
DEU,2017-07,0.4557143
DEU,2017-08,0.3460869
DEU,2017-09,0.3471428
DEU,2017-10,0.3725
DEU,2017-11,0.3081818
DEU,2017-12,0.2968421
DEU,2018-01,0.4745454
DEU,2018-02,0.659
DEU,2018-03,0.5295238
DEU,2018-04,0.48
DEU,2018-05,0.45
DEU,2018-06,0.3271429
DEU,2018-07,0.2745455
DEU,2018-08,0.2908696
DEU,2018-09,0.3705
DEU,2018-10,0.3990909
DEU,2018-11,0.3140909
DEU,2018-12,0.1870588
DEU,2019-01,0.1327273
DEU,2019-02,0.0555
DEU,2019-03,0.01095238
DEU,2019-04,-0.0395
DEU,2019-05,-0.1345455
DEU,2019-06,-0.3152632
DEU,2019-07,-0.3882609
DEU,2019-08,-0.6490909
DEU,2019-09,-0.5947619
DEU,2019-10,-0.4695455
DEU,2019-11,-0.352381
DEU,2019-12,-0.2994444
DEU,2020-01,-0.3136364
DEU,2020-02,-0.466
DEU,2020-03,-0.5413637
DEU,2020-04,-0.4495
DEU,2020-05,-0.5165
DEU,2020-06,-0.4342857
DEU,2020-07,-0.5230435
DEU,2020-08,-0.5233333
DEU,2020-09,-0.5240909
DEU,2020-10,-0.6072727
DEU,2020-11,-0.6147619
DEU,2020-12,-0.6185
DEU,2021-01,-0.5835
DEU,2021-02,-0.4455
DEU,2021-03,-0.3647826
DEU,2021-04,-0.325
DEU,2021-05,-0.2235
DEU,2021-06,-0.2886364
DEU,2021-07,-0.4513636
DEU,2021-08,-0.5386364
DEU,2021-09,-0.3627273
DEU,2021-10,-0.2042857
DEU,2021-11,-0.3136364
DEU,2021-12,-0.3842857
PRT,2007-01,4.18
PRT,2007-02,4.19
PRT,2007-03,4.1
PRT,2007-04,4.3
PRT,2007-05,4.44
PRT,2007-06,4.74
PRT,2007-07,4.73
PRT,2007-08,4.55
PRT,2007-09,4.5
PRT,2007-10,4.52
PRT,2007-11,4.36
PRT,2007-12,4.47
PRT,2008-01,4.31
PRT,2008-02,4.27
PRT,2008-03,4.36
PRT,2008-04,4.52
PRT,2008-05,4.6
PRT,2008-06,4.96
PRT,2008-07,4.95
PRT,2008-08,4.69
PRT,2008-09,4.66
PRT,2008-10,4.56
PRT,2008-11,4.35
PRT,2008-12,4
PRT,2009-01,4.32
PRT,2009-02,4.52
PRT,2009-03,4.68
PRT,2009-04,4.53
PRT,2009-05,4.29
PRT,2009-06,4.5
PRT,2009-07,4.25
PRT,2009-08,3.95
PRT,2009-09,3.93
PRT,2009-10,3.85
PRT,2009-11,3.8
PRT,2009-12,3.91
PRT,2010-01,4.17
PRT,2010-02,4.56
PRT,2010-03,4.31
PRT,2010-04,4.78
PRT,2010-05,5.02
PRT,2010-06,5.54
PRT,2010-07,5.49
PRT,2010-08,5.31
PRT,2010-09,6.08
PRT,2010-10,6.05
PRT,2010-11,6.91
PRT,2010-12,6.53
PRT,2011-01,6.94
PRT,2011-02,7.34
PRT,2011-03,7.8
PRT,2011-04,9.19
PRT,2011-05,9.63
PRT,2011-06,10.86
PRT,2011-07,12.15
PRT,2011-08,10.93
PRT,2011-09,11.34
PRT,2011-10,11.72
PRT,2011-11,11.89
PRT,2011-12,13.08
PRT,2012-01,13.85
PRT,2012-02,12.81
PRT,2012-03,13.01
PRT,2012-04,12.01
PRT,2012-05,11.59
PRT,2012-06,10.56
PRT,2012-07,10.49
PRT,2012-08,9.89
PRT,2012-09,8.62
PRT,2012-10,8.17
PRT,2012-11,8.32
PRT,2012-12,7.25
PRT,2013-01,6.24
PRT,2013-02,6.4
PRT,2013-03,6.1
PRT,2013-04,6.15
PRT,2013-05,5.46
PRT,2013-06,6.3
PRT,2013-07,6.87
PRT,2013-08,6.6
PRT,2013-09,7.06
PRT,2013-10,6.33
PRT,2013-11,5.98
PRT,2013-12,6.04
PRT,2014-01,5.21
PRT,2014-02,4.94
PRT,2014-03,4.43
PRT,2014-04,3.82
PRT,2014-05,3.66
PRT,2014-06,3.5
PRT,2014-07,3.69
PRT,2014-08,3.47
PRT,2014-09,3.18
PRT,2014-10,3.21
PRT,2014-11,3.13
PRT,2014-12,2.81
PRT,2015-01,2.49
PRT,2015-02,2.32
PRT,2015-03,1.74
PRT,2015-04,1.87
PRT,2015-05,2.41
PRT,2015-06,2.93
PRT,2015-07,2.74
PRT,2015-08,2.52
PRT,2015-09,2.59
PRT,2015-10,2.41
PRT,2015-11,2.57
PRT,2015-12,2.49
PRT,2016-01,2.71
PRT,2016-02,3.23
PRT,2016-03,2.84
PRT,2016-04,3.13
PRT,2016-05,3.14
PRT,2016-06,3.2
PRT,2016-07,3.06
PRT,2016-08,2.91
PRT,2016-09,3.26
PRT,2016-10,3.33
PRT,2016-11,3.51
PRT,2016-12,3.74
PRT,2017-01,3.95
PRT,2017-02,4.04
PRT,2017-03,3.99
PRT,2017-04,3.77
PRT,2017-05,3.29
PRT,2017-06,2.97
PRT,2017-07,3.03
PRT,2017-08,2.83
PRT,2017-09,2.63
PRT,2017-10,2.32
PRT,2017-11,1.98
PRT,2017-12,1.83
PRT,2018-01,1.85
PRT,2018-02,2.03
PRT,2018-03,1.79
PRT,2018-04,1.66
PRT,2018-05,1.84
PRT,2018-06,1.87
PRT,2018-07,1.76
PRT,2018-08,1.82
PRT,2018-09,1.88
PRT,2018-10,1.96
PRT,2018-11,1.9
PRT,2018-12,1.71
PRT,2019-01,1.67
PRT,2019-02,1.55
PRT,2019-03,1.32
PRT,2019-04,1.18
PRT,2019-05,1.02
PRT,2019-06,0.59
PRT,2019-07,0.44
PRT,2019-08,0.17
PRT,2019-09,0.2
PRT,2019-10,0.19
PRT,2019-11,0.35
PRT,2019-12,0.41
PRT,2020-01,0.37
PRT,2020-02,0.25
PRT,2020-03,0.71
PRT,2020-04,0.97
PRT,2020-05,0.81
PRT,2020-06,0.53
PRT,2020-07,0.4
PRT,2020-08,0.36
PRT,2020-09,0.32
PRT,2020-10,0.18
PRT,2020-11,0.07
PRT,2020-12,0.03
PRT,2021-01,0.03
PRT,2021-02,0.16
PRT,2021-03,0.23
PRT,2021-04,0.35
PRT,2021-05,0.53
PRT,2021-06,0.43
PRT,2021-07,0.27
PRT,2021-08,0.14
PRT,2021-09,0.26
PRT,2021-10,0.39
PRT,2021-11,0.39
PRT,2021-12,0.36
ITA,2007-01,4.2628
ITA,2007-02,4.28009
ITA,2007-03,4.17622
ITA,2007-04,4.37021
ITA,2007-05,4.48971
ITA,2007-06,4.77197
ITA,2007-07,4.76033
ITA,2007-08,4.58355
ITA,2007-09,4.57357
ITA,2007-10,4.59088
ITA,2007-11,4.44929
ITA,2007-12,4.53849
ITA,2008-01,4.39891
ITA,2008-02,4.35443
ITA,2008-03,4.37747
ITA,2008-04,4.53189
ITA,2008-05,4.70282
ITA,2008-06,5.10565
ITA,2008-07,5.09463
ITA,2008-08,4.81387
ITA,2008-09,4.8041
ITA,2008-10,4.78
ITA,2008-11,4.74252
ITA,2008-12,4.46882
ITA,2009-01,4.62129
ITA,2009-02,4.53581
ITA,2009-03,4.45835
ITA,2009-04,4.35597
ITA,2009-05,4.41509
ITA,2009-06,4.60624
ITA,2009-07,4.37291
ITA,2009-08,4.11556
ITA,2009-09,4.08809
ITA,2009-10,4.10144
ITA,2009-11,4.05652
ITA,2009-12,4.00728
ITA,2010-01,4.07788
ITA,2010-02,4.04712
ITA,2010-03,3.94527
ITA,2010-04,3.99558
ITA,2010-05,3.98492
ITA,2010-06,4.1022
ITA,2010-07,4.02583
ITA,2010-08,3.80208
ITA,2010-09,3.86227
ITA,2010-10,3.80021
ITA,2010-11,4.18408
ITA,2010-12,4.603
ITA,2011-01,4.72908
ITA,2011-02,4.73561
ITA,2011-03,4.87539
ITA,2011-04,4.84077
ITA,2011-05,4.75615
ITA,2011-06,4.81559
ITA,2011-07,5.46328
ITA,2011-08,5.27054
ITA,2011-09,5.7457
ITA,2011-10,5.9719
ITA,2011-11,7.05709
ITA,2011-12,6.81193
ITA,2012-01,6.5366
ITA,2012-02,5.54646
ITA,2012-03,5.04876
ITA,2012-04,5.67583
ITA,2012-05,5.78334
ITA,2012-06,5.90366
ITA,2012-07,5.99562
ITA,2012-08,5.82165
ITA,2012-09,5.2543
ITA,2012-10,4.95287
ITA,2012-11,4.85144
ITA,2012-12,4.54158
ITA,2013-01,4.20769
ITA,2013-02,4.4929
ITA,2013-03,4.64036
ITA,2013-04,4.27767
ITA,2013-05,3.96398
ITA,2013-06,4.37887
ITA,2013-07,4.41831
ITA,2013-08,4.41911
ITA,2013-09,4.54105
ITA,2013-10,4.24765
ITA,2013-11,4.09506
ITA,2013-12,4.11398
ITA,2014-01,3.86587
ITA,2014-02,3.65119
ITA,2014-03,3.39943
ITA,2014-04,3.22823
ITA,2014-05,3.12329
ITA,2014-06,2.91968
ITA,2014-07,2.79361
ITA,2014-08,2.6327
ITA,2014-09,2.40013
ITA,2014-10,2.4239
ITA,2014-11,2.29036
ITA,2014-12,1.9898
ITA,2015-01,1.70214
ITA,2015-02,1.55683
ITA,2015-03,1.29423
ITA,2015-04,1.3574
ITA,2015-05,1.81211
ITA,2015-06,2.19919
ITA,2015-07,2.04214
ITA,2015-08,1.83856
ITA,2015-09,1.92014
ITA,2015-10,1.69606
ITA,2015-11,1.57018
ITA,2015-12,1.57864
ITA,2016-01,1.5343
ITA,2016-02,1.5585
ITA,2016-03,1.37516
ITA,2016-04,1.44177
ITA,2016-05,1.52632
ITA,2016-06,1.45346
ITA,2016-07,1.22722
ITA,2016-08,1.17635
ITA,2016-09,1.26606
ITA,2016-10,1.45047
ITA,2016-11,1.94278
ITA,2016-12,1.88618
ITA,2017-01,1.99107
ITA,2017-02,2.35192
ITA,2017-03,2.40073
ITA,2017-04,2.25705
ITA,2017-05,2.19402
ITA,2017-06,2.05337
ITA,2017-07,2.23141
ITA,2017-08,2.10986
ITA,2017-09,2.10949
ITA,2017-10,2.07385
ITA,2017-11,1.78885
ITA,2017-12,1.79452
ITA,2018-01,1.98419
ITA,2018-02,2.08078
ITA,2018-03,1.96547
ITA,2018-04,1.77335
ITA,2018-05,2.17969
ITA,2018-06,2.74417
ITA,2018-07,2.64298
ITA,2018-08,3.16096
ITA,2018-09,2.9585
ITA,2018-10,3.46884
ITA,2018-11,3.39008
ITA,2018-12,2.97513
ITA,2019-01,2.77011
ITA,2019-02,2.81241
ITA,2019-03,2.68985
ITA,2019-04,2.61756
ITA,2019-05,2.64404
ITA,2019-06,2.28374
ITA,2019-07,1.6539
ITA,2019-08,1.40365
ITA,2019-09,0.90208
ITA,2019-10,1.00355
ITA,2019-11,1.26594
ITA,2019-12,1.37011
ITA,2020-01,1.27499
ITA,2020-02,0.9555
ITA,2020-03,1.55118
ITA,2020-04,1.79913
ITA,2020-05,1.76204
ITA,2020-06,1.4552
ITA,2020-07,1.19629
ITA,2020-08,1.03189
ITA,2020-09,0.98121
ITA,2020-10,0.77007
ITA,2020-11,0.66399
ITA,2020-12,0.57801
ITA,2021-01,0.61566
ITA,2021-02,0.59041
ITA,2021-03,0.70399
ITA,2021-04,0.79727
ITA,2021-05,0.98446
ITA,2021-06,0.875
ITA,2021-07,0.7477
ITA,2021-08,0.628
ITA,2021-09,0.7766
ITA,2021-10,0.95487
ITA,2021-11,1.009
ITA,2021-12,1.047
FRA,2007-01,4.0694
FRA,2007-02,4.096
FRA,2007-03,3.9968
FRA,2007-04,4.2079
FRA,2007-05,4.3368
FRA,2007-06,4.619
FRA,2007-07,4.5829
FRA,2007-08,4.3889
FRA,2007-09,4.3567
FRA,2007-10,4.4022
FRA,2007-11,4.2277
FRA,2007-12,4.3541
FRA,2008-01,4.15
FRA,2008-02,4.0792
FRA,2008-03,4.0194
FRA,2008-04,4.2699
FRA,2008-05,4.4059
FRA,2008-06,4.7337
FRA,2008-07,4.6903
FRA,2008-08,4.4018
FRA,2008-09,4.3619
FRA,2008-10,4.1836
FRA,2008-11,3.9767
FRA,2008-12,3.5395
FRA,2009-01,3.6016
FRA,2009-02,3.6781
FRA,2009-03,3.6474
FRA,2009-04,3.6591
FRA,2009-05,3.8045
FRA,2009-06,3.8997
FRA,2009-07,3.7329
FRA,2009-08,3.5874
FRA,2009-09,3.5869
FRA,2009-10,3.5579
FRA,2009-11,3.5552
FRA,2009-12,3.4751
FRA,2010-01,3.5157
FRA,2010-02,3.4981
FRA,2010-03,3.4374
FRA,2010-04,3.4016
FRA,2010-05,3.0757
FRA,2010-06,3.0732
FRA,2010-07,2.988
FRA,2010-08,2.6785
FRA,2010-09,2.6783
FRA,2010-10,2.7187
FRA,2010-11,2.9974
FRA,2010-12,3.3416
FRA,2011-01,3.4429
FRA,2011-02,3.6033
FRA,2011-03,3.6096
FRA,2011-04,3.69
FRA,2011-05,3.4892
FRA,2011-06,3.4305
FRA,2011-07,3.3994
FRA,2011-08,2.9845
FRA,2011-09,2.6444
FRA,2011-10,2.9925
FRA,2011-11,3.4075
FRA,2011-12,3.1589
FRA,2012-01,3.1797
FRA,2012-02,3.0158
FRA,2012-03,2.9542
FRA,2012-04,2.9935
FRA,2012-05,2.7518
FRA,2012-06,2.5694
FRA,2012-07,2.2752
FRA,2012-08,2.1194
FRA,2012-09,2.2372
FRA,2012-10,2.1857
FRA,2012-11,2.1397
FRA,2012-12,2.0103
FRA,2013-01,2.1652
FRA,2013-02,2.2446
FRA,2013-03,2.071
FRA,2013-04,1.8028
FRA,2013-05,1.8728
FRA,2013-06,2.2107
FRA,2013-07,2.2468
FRA,2013-08,2.3624
FRA,2013-09,2.4858
FRA,2013-10,2.3943
FRA,2013-11,2.265
FRA,2013-12,2.3308
FRA,2014-01,2.3841
FRA,2014-02,2.2527
FRA,2014-03,2.1519
FRA,2014-04,2.0257
FRA,2014-05,1.8384
FRA,2014-06,1.7119
FRA,2014-07,1.559
FRA,2014-08,1.4064
FRA,2014-09,1.3508
FRA,2014-10,1.2598
FRA,2014-11,1.1358
FRA,2014-12,0.9208
FRA,2015-01,0.6741
FRA,2015-02,0.5968
FRA,2015-03,0.5093
FRA,2015-04,0.435
FRA,2015-05,0.8888
FRA,2015-06,1.1955
FRA,2015-07,1.1136
FRA,2015-08,1.0051
FRA,2015-09,1.0046
FRA,2015-10,0.8652
FRA,2015-11,0.8831
FRA,2015-12,0.9312
FRA,2016-01,0.8428
FRA,2016-02,0.5923
FRA,2016-03,0.5093
FRA,2016-04,0.5142
FRA,2016-05,0.5095
FRA,2016-06,0.39
FRA,2016-07,0.1714
FRA,2016-08,0.1534
FRA,2016-09,0.1837
FRA,2016-10,0.3309
FRA,2016-11,0.6673
FRA,2016-12,0.7498
FRA,2017-01,0.8631
FRA,2017-02,1.0307
FRA,2017-03,1.0216
FRA,2017-04,0.8836
FRA,2017-05,0.8057
FRA,2017-06,0.6641
FRA,2017-07,0.8359
FRA,2017-08,0.7107
